commit_hash,author_date_unix_timestamp,author_date,fix,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,contains_bug
eb5d9d63621a078cd8b1875a9e79043729f186b7,1506713487,Fri Sep 29 12:31:27 2017 -0700,false,1,2,3,1.37878349348618,5,5,165,1,50.1431712962963,3,1783,1.01218732472065,27,false
105f8af275abb7554cca33f9a5e48f3cd402709c,1506693055,Fri Sep 29 10:50:55 2017 -0300,false,1,1,1,0,2,10,101,50,21.2124537037037,2,0,0,0,false
69251fafbc57305b11c6d377baf7858ee6347df6,1506510583,Wed Sep 27 21:09:43 2017 +1000,true,0,0,0,0,0,0,0,0,0,0,0,0,0,false
fbc2b919cb5c1113b660174173f482ebcd47a26a,1506510463,Wed Sep 27 21:07:43 2017 +1000,false,1,1,1,0,39,2,1185,48,78.186400462963,38,9904,1.01278994804824,3066,false
02f9f65a6a6fc1cc10eec82e0953360144e155ab,1506503711,Wed Sep 27 19:15:11 2017 +1000,false,0,0,0,0,0,0,0,0,0,0,0,0,0,false
e9b607ba6b825329c5dcfe04a5b0a628a2452272,1506460105,Tue Sep 26 23:08:25 2017 +0200,true,1,1,1,0,2,3,198,50,18.5162731481481,12,304,1.05400654829398,1,false
6b3fab4b6319d6c18a0e4e2c982589b30465cfa3,1506386816,Tue Sep 26 02:46:56 2017 +0200,true,0,0,0,0,0,0,0,0,0,0,0,0,0,false
78447feaabc02c0f6c96238c78960fe61168619e,1506303223,Mon Sep 25 11:33:43 2017 +1000,true,0,0,0,0,0,0,0,0,0,0,0,0,0,false
8dcc6ea62c4d5a9302bae618acc5023c4d3e2597,1506302930,Mon Sep 25 11:28:50 2017 +1000,true,1,1,1,0,64,0,0,1,0,0,9903,0,1389,false
a70f9c65a346b40b3072af633fd9ef67eecc8b15,1506300022,Mon Sep 25 10:40:22 2017 +1000,true,0,0,0,0,0,0,0,0,0,0,0,0,0,false
6e76c49e0df0654643a437ce77c7acb9874e30cc,1506109263,Fri Sep 22 21:41:03 2017 +0200,false,1,1,1,0,0,2,496,48,1.25408564814815,25,1,1.79739370391221,1,false
